avg_brawler_level,currency,date_scraped,epic_skins_count,legendary_skins_count,mythic_skins_count,num_brawlers,price_original_currency,rare_skins_count,rare_skins_count_simple,site_source,total_trophies,price_usd
11,EUR,2026-03-30T17:37:25.046705,0,0,0,30,11.99,450,5000,EloBoost24,5000,13.07
11,EUR,2026-03-30T17:37:27.946906,0,0,0,81,11.04,73,73,Gamer Markt,24224,12.03
7,EUR,2026-03-30T17:37:27.950784,0,0,0,103,11.04,83,83,Gamer Markt,23340,12.03
11,EUR,2026-03-30T17:37:27.971882,0,0,0,33,13.8,32,32,Gamer Markt,150000,15.04
11,EUR,2026-03-30T17:37:27.963620,0,0,0,63,14.49,88,88,Gamer Markt,22988,15.79
11,EUR,2026-03-30T17:37:27.960556,0,0,0,116,16.1,67,67,Gamer Markt,26514,17.55
11,EUR,2026-03-30T17:37:27.947740,0,0,0,81,23.0,73,73,Gamer Markt,24224,25.07
11,EUR,2026-03-30T17:37:27.956316,0,0,0,52,23.0,75,75,Gamer Markt,8675,25.07
8,EUR,2026-03-30T17:37:27.959482,0,0,0,93,32.2,93,93,Gamer Markt,37817,35.1
11,EUR,2026-03-30T17:37:27.957377,0,0,0,100,34.5,100,100,Gamer Markt,49640,37.61
11,EUR,2026-03-30T17:37:27.958426,0,0,0,100,34.5,100,100,Gamer Markt,45852,37.61
10,EUR,2026-03-30T17:37:27.966619,0,0,0,100,34.5,100,100,Gamer Markt,29270,37.61
11,EUR,2026-03-30T17:37:27.962617,0,0,0,91,57.5,91,91,Gamer Markt,150000,62.68
11,EUR,2026-03-30T17:37:27.970894,0,0,0,75,69.0,98,98,Gamer Markt,150000,75.21
11,EUR,2026-03-30T17:37:27.972869,0,0,0,83,69.0,95,95,Gamer Markt,22395,75.21
4,EUR,2026-03-30T17:37:27.964620,0,0,0,87,92.0,87,87,Gamer Markt,42401,100.28
2,EUR,2026-03-30T17:37:27.967617,0,0,0,100,103.5,100,100,Gamer Markt,20079,112.82
1,EUR,2026-03-30T17:37:27.965620,0,0,0,92,115.0,80,80,Gamer Markt,23380,125.35
11,EUR,2026-03-30T17:37:27.969880,0,0,0,81,115.0,81,81,Gamer Markt,150000,125.35
10,EUR,2026-03-30T17:37:27.954232,0,0,0,99,126.5,99,99,Gamer Markt,82263,137.89
11,EUR,2026-03-30T17:37:27.949772,0,0,0,89,184.0,76,76,Gamer Markt,28130,200.56
11,EUR,2026-03-30T17:37:27.951957,0,0,0,101,201.25,101,101,Gamer Markt,150000,219.36
11,EUR,2026-03-30T17:37:27.948759,0,0,0,100,207.0,100,100,Gamer Markt,150000,225.63
9,EUR,2026-03-30T17:37:27.961582,0,0,0,72,207.0,72,72,Gamer Markt,22934,225.63
11,EUR,2026-03-30T17:37:27.953191,0,0,0,101,253.0,101,101,Gamer Markt,102470,275.77
11,EUR,2026-03-30T17:37:27.955279,0,0,0,100,460.0,100,100,Gamer Markt,150000,501.4
11,EUR,2026-03-30T17:37:27.968692,0,0,0,88,1150.0,88,88,Gamer Markt,150000,1253.5
5,USD,2026-03-30T17:37:21.814836,0,0,0,80,5.0,224,224,PlayerAuctions,48000,5.0
5,USD,2026-03-30T17:37:21.878437,0,0,0,80,6.0,224,224,PlayerAuctions,48000,6.0
10,USD,2026-03-30T17:37:21.903192,0,0,0,31,8.29,49,49,PlayerAuctions,11149,8.29
3,USD,2026-03-30T17:37:21.884517,0,0,0,20,9.99,300,2851325,PlayerAuctions,10300,9.99
3,USD,2026-03-30T17:37:21.885767,0,0,0,10,9.99,150,2851325,PlayerAuctions,1000,9.99
3,USD,2026-03-30T17:37:21.886857,0,0,0,10,9.99,150,2851325,PlayerAuctions,1100,9.99
7,USD,2026-03-30T17:37:21.905426,0,0,0,36,11.74,36,36,PlayerAuctions,11525,11.74
5,USD,2026-03-30T17:37:21.904317,0,0,0,38,13.98,38,38,PlayerAuctions,15242,13.98
3,USD,2026-03-30T17:37:21.889047,0,0,0,69,17.0,224,224,PlayerAuctions,26000,17.0
10,USD,2026-03-30T17:37:21.906551,0,0,0,56,17.98,48,48,PlayerAuctions,23574,17.98
5,USD,2026-03-30T17:37:21.879529,0,0,0,80,19.0,75,75,PlayerAuctions,27237,19.0
11,USD,2026-03-30T17:37:21.907546,0,0,0,93,25.0,46,46,PlayerAuctions,30630,25.0
11,USD,2026-03-30T17:37:21.909660,0,0,0,60,29.95,60,60,PlayerAuctions,21727,29.95
3,USD,2026-03-30T17:37:21.890160,0,0,0,97,36.0,246,246,PlayerAuctions,43000,36.0
4,USD,2026-03-30T17:37:21.891267,0,0,0,99,60.0,240,240,PlayerAuctions,60000,60.0
1,USD,2026-03-30T17:37:21.895517,0,0,0,110,69.99,187,187,PlayerAuctions,48000,69.99
11,USD,2026-03-30T17:37:21.910658,0,0,0,100,93.0,370,370,PlayerAuctions,72000,93.0
3,USD,2026-03-30T17:37:21.897730,0,0,0,99,113.0,310,310,PlayerAuctions,86393,113.0
8,USD,2026-03-30T17:37:21.896628,0,0,0,94,115.0,321,321,PlayerAuctions,82723,115.0
5,USD,2026-03-30T17:37:18.055055,0,0,0,1,10.0,15,218,SkyCoach,31200,10.0
5,USD,2026-03-30T17:37:18.077938,0,0,0,100,10.0,218,218,SkyCoach,31200,10.0
5,EUR,2026-03-30T17:37:18.140063,0,0,0,100,20.0,218,218,SkyCoach,31200,21.8
9,EUR,2026-03-30T17:37:18.154200,0,0,0,71,20.0,218,218,SkyCoach,31200,21.8
